,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
ppg_green_tke_std,0.20264275385216637,0.3457453603449615,-0.2162243887123241,-0.10426988350813843,0.06838986050240863,0.12015231939522382,-0.02911836918300919,-0.24666028037121265,0.1878379626488615,0.18422362325607572,0.13199393440615828,0.39590670455303306,0.03999072289233506,-0.05196072128331214,-0.08988931288102366,0.030896953173266815,-0.08251824460952867,-0.6610038364167301,0.02264422221888541
ppg_green_p90,0.24420325642754384,-0.33394849353691936,-0.10595855881781883,-0.18286300517633203,0.02532179766576556,-0.05191210778867352,-0.09031484261988672,0.04009370235358134,-0.18651591063058282,-0.050549292161317864,-0.10073830009355508,0.1781180717687617,-0.004350137359932378,-0.21332939834381417,0.31854121173883576,0.555733977291352,0.4690189520453008,-0.09099493673058061,0.08810848371116371
ppg_green_median,0.1615226619221219,-0.34997199541292767,-0.29175433446966914,-0.21435199537730015,0.0356735250835258,0.060411790368200116,0.004594305346116136,-0.10687712192913969,-0.017554670734249572,-0.1231736965351333,-0.08860782828016284,0.04540364679104026,-0.02577505022460534,0.5886033257295379,-0.4004456854259382,-0.26150611200544777,0.3195402827658688,-0.02517409733977192,0.00193317273631378
ppg_green_diff_std,0.2809640523868348,0.24849935916477037,-0.20486141710575823,0.024716318922525838,0.06143661539651946,0.028164644761171417,0.03149757471965415,-0.19278122739227269,0.23512257667750905,0.05579683712287825,0.34330528519316295,0.2991285954666293,0.0673938500716393,-0.02987147485157735,-0.03691651765971501,0.09381729464258859,0.11530497514108493,0.6920274305627014,-0.02180524598956035
ppg_green_kurtosis,0.20155223332849032,0.3401699084484447,-0.2631819740820543,-0.05492713225992295,0.06377018893017063,0.002776307705846674,-0.06446874636558365,-0.19690213840046752,-0.0023772275941911815,-0.012073007675959662,-0.22669520176961855,-0.3833391237072771,-0.20355187791169424,0.35531689103474606,0.5952210575737265,-0.03662728703666341,-0.045485280776872285,0.02193037651298441,0.004938448497964845
ppg_green_max,0.3296374506970233,-0.11004276733884445,-0.19152906087290336,-0.17154138969853935,0.009154869515182714,-0.0848064828341405,-0.09799170710974282,0.04883426090467664,-0.07032698254182838,-0.06082741292081359,-0.09734940082980491,-0.1524283844372202,0.08038098411231259,-0.1542218774788371,-0.20441299114572087,0.0563871586247717,-0.49342003962685793,0.08853711545932225,0.6526774043604121
ppg_green_p90_p10,0.29249462173469193,-0.15493000093350867,0.2940280926583337,0.0036203779557683665,-0.06659231679943901,-0.06205892430432046,-0.06701844134302838,-0.05989311962879863,-0.13991729592583582,-0.2657297454897387,-0.13946273346974924,0.5284965173597959,-0.05151067154841222,-0.03992737055816682,0.3426600516771424,-0.49448300360549813,-0.17260709254441978,0.04484629294364866,-0.026164784933784716
ppg_green_iqr,0.26759991386830784,-0.14322508184898058,0.3508194653253981,-0.03137423110016765,0.04896192704650588,0.09806340560865631,0.0053746055930001405,0.048663964206423126,0.16547220638824003,0.4306334499115169,-0.03836772300706463,-0.12485024311135559,0.6751814555743897,0.24298129849889877,0.15467290946962445,0.006839443447953596,-0.012968528109523588,-0.01156952631303054,-0.018415623676379164
ppg_green_tke_p95_abs,0.26459100950410663,-0.2187228319757625,0.006516497796616954,0.3369739866979183,-0.00463119846104736,-0.24923491959919472,0.14609388398619538,0.06624394356312528,0.14808264764586318,-0.32169496716857,0.641599799954127,-0.22656309424344614,-0.02085031869958041,0.11300946857598625,0.13449383944091273,0.015966033615061815,-0.026963538039976125,-0.24444120334597194,0.01617508338328359
ppg_green_crest_factor,0.30430035534040567,0.25924064054160323,0.020370966063320735,-0.0010259532336781277,-0.022539444520246168,-0.14397870697661383,-0.13943549265913402,0.07131319446508363,-0.041191422942448,0.018062758800816262,-0.043394729156481085,-0.3251533200246358,0.08586922293331246,-0.4421243295590007,-0.15064480237454522,-0.45065574544072207,0.5014029767150935,-0.0588799405325786,0.029653929919551097
ppg_green_mad,0.2722464166422103,-0.1848724252597425,0.17574318125787028,0.0003160627039870348,-0.11001481180250375,0.12810918320027673,0.2808669347079908,0.15234977496619084,0.5828540994756036,0.2187555023384541,-0.23771138927939733,-0.04890514474926767,-0.5206004720850264,-0.09799244221198154,-0.049651564922024716,0.023250416975078278,0.008631029055719611,0.0046278402592947465,-0.0024430087127569385
ppg_green_range,0.3580771868408122,0.05517697552377607,0.027189152435441098,0.00976499997102085,-0.028216759261949494,-0.0736549692500842,-0.08613925922840412,-0.10455502617800032,-0.011812718369420888,-0.3357203827698057,-0.27020997582968015,-0.13383400886027946,0.12242530528592831,-0.07760483156362216,-0.2853752247656117,0.28457579257719073,-0.259935884705859,0.0003766896850916317,-0.6233428416974984
ppg_green_p1,0.025503197940262564,-0.29314606610026334,-0.4075557491942675,-0.3234849368080166,0.06775121195061287,-0.02832833427347271,-0.04186539064665274,0.24260253774717272,-0.12140543929340873,0.369110008700488,0.24913273341938313,-0.06272814151666181,-0.06899385520208166,-0.20866782801987174,0.1492032795325654,-0.22978349394057335,-0.24727208180263227,0.03032261627973085,-0.4174428173496711
ppg_green_shape_factor,0.22526682302614398,0.027318020594010416,0.4153461213804203,0.013593146106462657,0.060346215684469975,-0.0010861617363812763,-0.29234968499481495,-0.20140956225839518,-0.4316331215898833,0.3650285099584143,0.25298276977097045,-0.07206786109375356,-0.42605982960865973,0.155593304918107,-0.19040770642556462,0.11801802147635933,-0.02907851634305661,0.022515032952285904,-0.010737852916726699
ppg_green_mean_cross_rate,0.09757210146585213,-0.07321360115725051,-0.26008793795065,0.5923581582330092,0.10651732539243886,-0.34217606309813753,0.36720551994708095,-0.09190556352246529,-0.26967083658144925,0.34731877428822194,-0.28416185920084575,0.12506577164234575,0.022507472218524335,-0.006743081917859889,-0.06384189367483971,-0.018127014721664777,-0.010949299362846178,-0.0006214845751885182,-0.007056899466690063
ppg_green_ddx_kurtosis,0.21511225768059936,0.14203265547907068,-0.020395114132603497,0.03222281242239829,-0.10597474432745148,0.6620606980112279,0.4924728690934766,0.21209412737624547,-0.4127782087166194,-0.1112092286397479,0.09141255762440598,-0.049736183002953585,0.027332020233208063,-0.023896447559911518,-0.0051687347873433116,-0.00027590947439855686,0.006236551210275195,-0.005831819326003957,0.00544510965035535
ppg_green_skew,0.11672813138406597,0.36306830537360507,0.006657486615576544,-0.06888359363822343,-0.11725223069712376,-0.316832133273752,-0.06688592375304697,0.7495509388507992,-0.05126019835663509,0.026140812320679822,-0.02234687844158615,0.2194685917508248,-0.041658457549680325,0.31726321998628065,-0.05784527992875499,0.10557085130870003,0.018467722882452648,-0.009581852662837516,-0.006582631503638978
ppg_green_ddx_mean,-0.04540814511864549,0.11938818091375429,0.20316304824071785,-0.5420171996789057,-0.1076059582584981,-0.4430719269441657,0.6000309184580067,-0.24762030694406761,-0.1066567579335257,-0.0005801906233731662,0.06936559605211572,-0.04535524691767368,0.022130308864957343,-0.00022619943563463666,-0.009988267309260033,0.02213897965284356,0.0074210937145631,0.0008602456060788985,-0.001341720436931496
ppg_green_dx_mean,0.0015311677272544751,0.04254745160756877,0.139206206796226,-0.08222533536722237,0.9534609554697241,0.012859573603995093,0.12453917764758045,0.14913904872173497,0.028052209119372333,-0.133313943295854,-0.03733422875644895,0.009322705969147013,-0.05630912361997183,-0.02969415148388451,-0.023824961782104685,-0.01935238097151144,-7.05224677011943e-05,0.0003156032587408541,0.0027151012429377885
