,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
ppg_infra_cv_ibi,0.32225025282857583,0.2541272653873971,-0.29686837998116494,-0.289011407281081,-0.14167188955819443,0.08404594745957329,-0.004452075519303792,-0.09946297305192928,-0.14630456270193637,-0.11637866222492582,-0.3002357826679524,-0.10211291719897267,0.011682228206576464,-0.5459823842950625,-0.4348764190538528
ppg_infra_lf_power,0.3267013162956069,0.14294932439611743,0.32034377697052413,0.29434547693885077,-0.23764273600072341,-0.15714226577982024,0.20461444984823157,-0.16596986307528505,0.018030079089927396,-0.34671965764898305,0.017867658846985362,0.22746643630132068,-0.5999276709794883,0.013183541764356878,-0.017454550530572956
ppg_infra_sdnn,0.39287449086021936,-0.16332238155800602,-0.2117266193103758,-0.25835889097583525,-0.18630228198634416,0.20523283149236107,0.09220355172097221,0.0076922782680531815,-0.19412508546606289,-0.0400926897844714,-0.17325424718444868,0.47050994258012285,0.18662981626716882,0.544259447969171,0.016449526220807396
ppg_infra_lf_hf_ratio,0.17427088553643516,0.1557005702912299,0.3309090395649744,0.13988865609684034,0.19960749788069748,0.6474711950192311,-0.47477455439909694,0.005684440907249791,-0.13390960561790805,0.27146708669035424,-0.0722285780310078,0.04578146024538566,-0.18014798471640905,-0.007399009819796453,-0.019103857428649
ppg_infra_total_power,0.36282741348571723,0.12202123664774761,0.24200135295448408,0.4218811147780671,-0.08568967141294453,-0.05767451197284795,-0.12043319673023481,0.05746247708787867,0.05582103892236693,-0.31086875607685716,0.0400119947051803,-0.14151666819800693,0.6829245928987386,-0.02141062370005183,0.014692935162843713
ppg_infra_lf_norm,0.14918509325619048,0.18594798936510212,0.46081975870237973,-0.20446381076028805,-0.16949433695588886,-0.06650440636929175,0.4905168696796095,-0.13391997197357378,-0.07053894435441006,0.5830630341666095,-0.004187050886678302,-0.16277064908827793,0.15973126844940377,0.01862651040668168,-0.0018009795680495602
ppg_infra_sdsd,0.4117439422855022,-0.12740447695589072,-0.1890224279345468,-0.15709739536392392,-0.1300478091348755,0.2147261504889928,0.04786262451615703,0.27422124464172365,0.2228826742916096,0.002472887031737238,0.5973664865335409,-0.4120853956743485,-0.18027235322461088,0.06672862885405251,0.0048327704592066615
ppg_infra_n_peaks,-0.14655743471295787,0.320287285812813,-0.10662404960678884,0.2225426087771397,0.10352206650942651,0.29200760215026555,0.49048754499653396,0.6595612492302121,0.011066342506035005,-0.06309909639576694,-0.15095164116745152,0.11703686668610976,-0.008908245573903316,-0.04853273796005486,0.020879928639250638
ppg_infra_hf_power,0.21443618861904928,-0.03006045891840168,-0.349088735694428,0.4621634870484194,-0.21782090469131535,-0.36555515972941155,-0.21485175785766125,0.22652145333737375,-0.13046000854499654,0.5376589605911422,-0.134783989022352,0.0029266643889146134,-0.12154741617067118,0.005407344371354446,0.005514809431984126
ppg_infra_peak_quality,-0.06187296939401849,-0.22673235935574834,-0.304674773696271,0.4432734133213678,-0.04339493562920655,0.4127552780282109,0.34277267245563847,-0.519084495397022,0.16049643586413279,0.0630378590897264,-0.13580422859987284,-0.21115020883214988,0.022890945397337537,0.041698409592251746,-0.035091998085648744
ppg_infra_hr_max,-0.15506986082313753,0.4741122466700738,-0.08120347982659461,0.04210010498608648,0.0755582751264413,-0.10627697562947373,-0.09405193630360438,-0.08313943186640003,0.09435395668722099,-0.014988011036108107,0.055198671624033,-0.19309899466643124,-0.03608997744005192,0.5724857133059233,-0.5757941545246806
ppg_infra_hr_std,0.0755055996032995,0.4677496783119467,-0.19798422359159956,-0.1398693091102854,-0.024295333221753927,-0.021162945377845143,-0.08523653880637519,-0.13739292196695319,-0.02151019896724454,-0.10925740826774147,-0.257630935361657,-0.3418985915473061,-0.0885199919820117,0.16621774320846,0.6770785830327024
ppg_infra_pnn20,0.24041242424974688,-0.05149069633521251,-0.09371206390200701,0.09430798771675016,0.6743737099089119,-0.15625648586749716,0.2128480063346214,-0.09713057603258596,-0.5828772705802496,-0.0527634962215745,0.17577031186730702,-0.11183885001404473,-0.035422849895576355,0.027416242004270504,-0.0007455044890185321
ppg_infra_hr_range,-0.021744106809975683,0.44289737018083597,-0.2599695348680168,0.0559520281119581,0.026879757982110973,0.03731830462023438,0.002590469223105461,-0.2739108177241193,0.10199883449596106,0.15943491623897116,0.5347232376864218,0.5039417796694599,0.14819728458310877,-0.19959339766467477,0.1341485312201881
ppg_infra_pnn50,0.349225424490257,-0.033068448645817844,-0.0074076751459417976,-0.07793708078671549,0.5235190599860903,-0.16195454089852523,0.03383068291256653,-0.0019138117854518022,0.6800505319822918,0.13013053533743635,-0.2649516252803976,0.1381415248499218,-0.023141215906853883,-0.010836900242439253,-0.005592846250290972
