Feature,Coefficient,Abs_Coefficient
ppg_red_zcr,0.0220294297230298,0.0220294297230298
rmssd_during_effort,-0.014083276442831782,0.014083276442831782
acc_x_dyn__cardinality_r,-0.011563035126172903,0.011563035126172903
acc_z_dyn__quantile_0.4,0.009164488793018228,0.009164488793018228
acc_z_dyn__harmonic_mean_of_abs,-0.006500005343507692,0.006500005343507692
eda_cc_std,0.005970875636625734,0.005970875636625734
eda_cc_iqr,0.005792571344274456,0.005792571344274456
eda_cc_range,0.005702568378193349,0.005702568378193349
eda_cc_mean_abs_diff,0.00565224826545309,0.00565224826545309
eda_cc_mad,0.004937027329221141,0.004937027329221141
ppg_red_mean_cross_rate,0.004326607485357625,0.004326607485357625
acc_x_dyn__cardinality,-0.001728846497612562,0.001728846497612562
eda_cc_kurtosis,0.0,0.0
acc_z_dyn__sum_of_absolute_changes,-0.0,0.0
ppg_infra_mean_cross_rate,0.0,0.0
